Date acquired,Date sold,Symbol,Quantity,Cost basis,Gross proceeds,Gross PnL,Fees,Net PnL,Currency
2025-04-15,2025-04-19,BTC,0.00067626,57.95,57.88,-0.07,0.05,-0.12,USD
2025-04-20,2025-04-21,PEPE,7759840,57.83,61.17,3.34,0.11,3.23,USD
2025-04-21,2025-04-22,PEPE,7850310,61.05,63.11,2.06,0.06,2.00,USD
2025-04-15,2025-04-22,ETH,0.03373349,54.95,54.80,-0.15,0.10,-0.25,USD
2025-04-22,2025-04-22,PEPE,6738940,54.70,55.93,1.23,0.05,1.18,USD
2025-04-22,2025-04-22,ETH,0.03288858,55.88,55.89,0.01,0.11,-0.10,USD
2025-04-22,2025-04-22,FWOG,752.4138,31.23,32.73,1.50,0.03,1.47,USD
2025-04-22,2025-04-22,FWOG,766.9404,31.83,33.36,1.53,0.03,1.50,USD
2025-04-22,2025-04-22,BTC,0.00061099,55.78,56.82,1.04,0.05,0.99,USD
2025-04-23,2025-04-25,BTC,0.00121761,113.91,115.28,1.37,0.10,1.27,USD
2025-04-25,2025-04-25,BTC,0.00122053,115.75,116.12,0.37,0.00,0.37,USD
2025-04-23,2025-04-26,FWOG,242.4843,12.40,12.60,0.20,0.01,0.19,USD
2025-04-23,2025-04-26,FWOG,851.3709,43.55,44.27,0.72,0.04,0.68,USD
2025-04-26,2025-04-27,BTC,0.00060618,57.51,57.03,-0.48,0.00,-0.48,USD
2025-04-26,2025-04-28,BTC,0.00061366,58.22,57.85,-0.37,0.00,-0.37,USD
2025-04-26,2025-04-28,BTC,0.00060559,57.45,57.20,-0.25,0.00,-0.25,USD
2025-04-27,2025-04-28,BTC,0.00060618,56.84,57.25,0.41,0.00,0.41,USD
2025-04-28,2025-04-28,BTC,0.00061366,57.27,57.96,0.69,0.00,0.69,USD
2025-04-28,2025-04-28,BTC,0.00121945,115.47,115.81,0.34,0.00,0.34,USD
2025-04-29,2025-04-30,BTC,0.0012194,116.07,115.22,-0.85,0.00,-0.85,USD
2025-04-30,2025-04-30,BTC,0.00122257,115.86,115.52,-0.34,0.00,-0.34,USD
2025-04-30,2025-05-01,BTC,0.00124251,115.64,117.40,1.76,0.00,1.76,USD
2025-05-01,2025-05-01,BTC,0.00119559,116.10,116.09,-0.01,0.00,-0.01,USD
2025-05-01,2025-05-01,BTC,0.00000278,0.27,0.27,0.00,0.00,0.00,USD
2025-05-01,2025-05-01,BTC,0.00119559,116.01,116.38,0.37,0.00,0.37,USD
2025-05-01,2025-05-01,BTC,0.00240501,233.35,233.04,-0.31,0.00,-0.31,USD
2025-05-02,2025-05-02,BTC,0.00241767,234.26,233.61,-0.65,0.00,-0.65,USD
2025-05-02,2025-05-02,BTC,0.00242533,234.64,234.73,0.09,0.00,0.09,USD
2025-05-02,2025-05-02,BTC,0.00002438,2.37,2.36,-0.01,0.00,-0.01,USD
2025-05-02,2025-05-02,BTC,0.00240088,232.85,232.34,-0.51,0.00,-0.51,USD
2025-05-02,2025-05-02,BTC,0.00243376,235.93,236.75,0.82,0.00,0.82,USD
2025-05-02,2025-05-03,BTC,0.00005848,5.69,5.64,-0.05,0.00,-0.05,USD
2025-05-02,2025-05-03,BTC,0.0000117,1.14,1.13,-0.01,0.00,-0.01,USD
2025-05-02,2025-05-03,BTC,0.0000117,1.14,1.13,-0.01,0.00,-0.01,USD
2025-05-02,2025-05-03,BTC,0.0005848,56.86,56.37,-0.49,0.00,-0.49,USD
2025-05-02,2025-05-03,BTC,0.00010527,10.24,10.15,-0.09,0.00,-0.09,USD
2025-05-02,2025-05-03,BTC,0.00165752,161.15,159.76,-1.39,0.00,-1.39,USD
2025-05-03,2025-05-03,BTC,0.00243505,234.86,234.99,0.13,0.00,0.13,USD
2025-05-03,2025-05-05,BTC,0.00002593,2.49,2.45,-0.04,0.00,-0.04,USD
2025-05-03,2025-05-05,BTC,0.00001195,1.15,1.13,-0.02,0.00,-0.02,USD
2025-05-03,2025-05-05,BTC,0.00206212,197.96,195.13,-2.83,0.00,-2.83,USD
2025-05-05,2025-05-08,XRP,80.33605,175.36,174.38,-0.98,0.00,-0.98,USD
2025-05-05,2025-05-08,XRP,27.26694,58.47,59.18,0.71,0.00,0.71,USD
2025-05-08,2025-05-08,BTC,0.00009092,9.07,9.03,-0.04,0.00,-0.04,USD
2025-05-08,2025-05-08,BTC,0.00007955,7.94,7.91,-0.03,0.00,-0.03,USD
2025-05-08,2025-05-08,BTC,0.00099935,99.73,99.32,-0.41,0.00,-0.41,USD
2025-05-08,2025-05-08,BTC,0.00114223,115.87,115.64,-0.23,0.00,-0.23,USD
2025-05-08,2025-05-08,BTC,0.00228634,231.42,231.43,0.01,0.21,-0.20,USD
2025-05-08,2025-05-08,BTC,0.00226456,231.38,231.74,0.36,0.21,0.15,USD
2025-05-08,2025-05-08,BTC,0.00226686,232.64,232.56,-0.08,0.00,-0.08,USD
2025-05-08,2025-05-08,BTC,0.00021854,22.44,22.55,0.11,0.00,0.11,USD
2025-05-08,2025-05-09,BTC,0.00224913,233.22,231.20,-2.02,0.00,-2.02,USD
