Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2025-12-31 03:02:09,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00432711190855970467808803247604,0.0049370657572177128668278124983737753984,supercharger_reward_to_app_credited,
2025-12-31 01:49:46,DPoS non-compound interest received,CRO,0.60573044,,,EUR,0.04654591,0.0531070661576736,finance.dpos.non_compound_interest.crypto_wallet,
2025-12-31 00:52:06,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00123181799201621547295586561812,0.0014054562387160935415905784732811885952,supercharger_reward_to_app_credited,
2025-12-30 02:48:09,CRO Pool Rewards,XRP,0.002773,,,EUR,0.004274782566412317446197204299,0.00487736002076506146923791056630316704,supercharger_reward_to_app_credited,
2025-12-30 00:44:02,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00123094326704144935921045945973,0.0014044582116691484206761506672146221408,supercharger_reward_to_app_credited,
2025-12-29 02:49:07,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00436669618643414704880739777163,0.0049822298729022433935884554166208255648,supercharger_reward_to_app_credited,
2025-12-29 01:21:06,DPoS non-compound interest received,CRO,0.91791096,,,EUR,0.07057057,0.0805182652949472,finance.dpos.non_compound_interest.crypto_wallet,
2025-12-29 00:42:10,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00124641132050060906549472955483,0.0014221066567932425999515695078192094368,supercharger_reward_to_app_credited,
2025-12-28 02:53:19,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00430501958291384498226668977736,0.0049118592761401801682581853443988518656,supercharger_reward_to_app_credited,
2025-12-28 00:43:09,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00124564827380815716275529090676,0.0014212360503064978522481529580561600896,supercharger_reward_to_app_credited,
2025-12-27 02:47:09,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00426436733391974217251188288441,0.0048654766471017095921016435072040026336,supercharger_reward_to_app_credited,
2025-12-27 00:47:05,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00123970980940350128480004547986,0.0014144604942584358532666932987447262656,supercharger_reward_to_app_credited,
2025-12-26 02:47:07,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00431321540131843475801518263304,0.0049212103849750665872023704715686461184,supercharger_reward_to_app_credited,
2025-12-26 00:47:06,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00124123453359316576371653204515,0.001416200145033610659209147570105107344,supercharger_reward_to_app_credited,
2025-12-26 00:41:15,DPoS non-compound interest received,CRO,0.61527939,,,EUR,0.04673734,0.0533254803142464,finance.dpos.non_compound_interest.crypto_wallet,
2025-12-25 02:44:06,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00432416866476050899799213791996,0.0049337076309470685164377477536099647616,supercharger_reward_to_app_credited,
2025-12-25 00:42:10,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.0012734628656329023416047338929,0.001452971413696867263263585122987721184,supercharger_reward_to_app_credited,
2025-12-24 02:45:09,CRO Pool Rewards,XRP,0.002773,,,EUR,0.00427085088714875960095835860022,0.0048728741282181004171186657485312674112,supercharger_reward_to_app_credited,
